,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
UNITED STATES,CARTER,Ardmore Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,PITTSBURG,Arkoma Woodford,No,Gas,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,DENTON,Barnett,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,BLAINE,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,CANADIAN,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,9
UNITED STATES,DEWEY,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,GRADY,Cana Woodford,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,8
UNITED STATES,ADAMS,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,Broomfield,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,LARIMER,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,WELD,DJ-Niobrara,No,Oil,Land,COLORADO,Horizontal,2020,1,03-01-2020,16
UNITED STATES,LARAMIE,DJ-Niobrara,No,Oil,Land,WYOMING,Horizontal,2020,1,03-01-2020,1
UNITED STATES,DIMMIT,Eagle Ford,No,Oil,Land,TEXAS,Directional,2020,1,03-01-2020,1
UNITED STATES,WEBB,Eagle Ford,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,3
UNITED STATES,ATASCOSA,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,4
UNITED STATES,DE WITT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,9
UNITED STATES,DIMMIT,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,8
UNITED STATES,GONZALES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,6
UNITED STATES,KARNES,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,19
UNITED STATES,LA SALLE,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,8
UNITED STATES,LIVE OAK,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,2
UNITED STATES,MCMULLEN,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,3
UNITED STATES,WILSON,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,ZAVALA,Eagle Ford,No,Oil,Land,TEXAS,Horizontal,2020,1,03-01-2020,3
UNITED STATES,WASHITA,Granite Wash,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,BIENVILLE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,BOSSIER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,03-01-2020,4
UNITED STATES,CADDO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,03-01-2020,7
UNITED STATES,DE SOTO,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,03-01-2020,11
UNITED STATES,NATCHITOCHES,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,RED RIVER,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,03-01-2020,7
UNITED STATES,SABINE,Haynesville,No,Gas,Land,LOUISIANA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,HARRISON,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,3
UNITED STATES,NACOGDOCHES,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,3
UNITED STATES,PANOLA,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,6
UNITED STATES,RUSK,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,SAN AUGUSTINE,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,2
UNITED STATES,SHELBY,Haynesville,No,Gas,Land,TEXAS,Horizontal,2020,1,03-01-2020,1
UNITED STATES,CAMERON,Marcellus,No,Gas,Land,PENNSYLVANIA,Directional,2020,1,03-01-2020,1
UNITED STATES,MCKEAN,Marcellus,No,Gas,Land,PENNSYLVANIA,Directional,2020,1,03-01-2020,1
UNITED STATES,WASHINGTON,Marcellus,No,Gas,Land,PENNSYLVANIA,Directional,2020,1,03-01-2020,1
UNITED STATES,BRADFORD,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,3
UNITED STATES,BUTLER,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,GREENE,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,LYCOMING,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,SUSQUEHANNA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,6
UNITED STATES,TIOGA,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,WASHINGTON,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,4
UNITED STATES,WESTMORELAND,Marcellus,No,Gas,Land,PENNSYLVANIA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,BEDFORD,Marcellus,No,Gas,Land,PENNSYLVANIA,Vertical,2020,1,03-01-2020,1
UNITED STATES,DODDRIDGE,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,HARRISON,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,MARSHALL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,03-01-2020,5
UNITED STATES,OHIO,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,TYLER,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,03-01-2020,4
UNITED STATES,WETZEL,Marcellus,No,Gas,Land,WEST VIRGINIA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,ALFALFA,Mississippian,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,WOODS,Mississippian,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,PLAQUEMINES,Other,No,Oil,Inland Waters,LOUISIANA,Vertical,2020,1,03-01-2020,1
UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2020,1,03-01-2020,1
UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Horizontal,2020,1,03-01-2020,7
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Directional,2020,1,03-01-2020,7
UNITED STATES,LOS ANGELES,Other,No,Oil,Land,CALIFORNIA,Directional,2020,1,03-01-2020,1
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Horizontal,2020,1,03-01-2020,2
UNITED STATES,LAKE,Other,No,Miscellaneous,Land,CALIFORNIA,Vertical,2020,1,03-01-2020,1
UNITED STATES,KERN,Other,No,Oil,Land,CALIFORNIA,Vertical,2020,1,03-01-2020,2
UNITED STATES,LOS ANGELES,Other,No,Oil,Land,CALIFORNIA,Vertical,2020,1,03-01-2020,1
UNITED STATES,GARFIELD,Other,No,Gas,Land,COLORADO,Directional,2020,1,03-01-2020,3
UNITED STATES,HAWAII,Other,No,Miscellaneous,Land,HAWAII,Vertical,2020,1,03-01-2020,1
UNITED STATES,KNOX,Other,No,Gas,Land,INDIANA,Vertical,2020,1,03-01-2020,1
UNITED STATES,VIGO,Other,No,Gas,Land,INDIANA,Vertical,2020,1,03-01-2020,1
UNITED STATES,LAFOURCHE,Other,No,Oil,Land,LOUISIANA,Directional,2020,1,03-01-2020,1
UNITED STATES,VERMILION,Other,No,Oil,Land,LOUISIANA,Directional,2020,1,03-01-2020,2
UNITED STATES,WASHOE,Other,No,Miscellaneous,Land,NEVADA,Vertical,2020,1,03-01-2020,1
UNITED STATES,SAN JUAN,Other,No,Gas,Land,NEW MEXICO,Horizontal,2020,1,03-01-2020,1
UNITED STATES,MCINTOSH,Other,No,Gas,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,OKFUSKEE,Other,No,Gas,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,1
UNITED STATES,ELLIS,Other,No,Oil,Land,OKLAHOMA,Horizontal,2020,1,03-01-2020,4
